frame,env_id,cube_pos,cube_ore,robot_pos,robot_ore,cube_changed_pos,cube_changed_ore,front_img_rgb,side_img_rgb,bird_img_rgb,front_img_dp,side_img_dp,bird_img_dp,env_origin
6,0,[3.0268464  0.5456086  0.09307259],[ 0.9119117   0.0535448  -0.12414711 -0.38747552],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.5268464 0.5456086 0.1380726],[ 0.9119117   0.05354482 -0.12414712 -0.3874755 ],frames/front/rgb_env0_6.jpg,frames/side/rgb_env0_6.jpg,frames/bird/rgb_env0_6.jpg,frames/front/depth_6.npz,frames/side/depth_6.npz,frames/bird/depth_6.npz,[2.5 0.  0. ]
6,1,[-2.3807724   0.26867622  0.35498893],[0.49542418 0.28170642 0.63325644 0.5236246 ],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.11922765 0.26867622 0.39998895],[0.4954242  0.2817064  0.6332565  0.52362466],frames/front/rgb_env1_6.jpg,frames/side/rgb_env1_6.jpg,frames/bird/rgb_env1_6.jpg,frames/front/depth_6.npz,frames/side/depth_6.npz,frames/bird/depth_6.npz,[-2.5  0.   0. ]
7,0,[ 2.7418375  -0.3280309   0.08317481],[-0.00936928 -0.74328727  0.36349127  0.56152505],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.2418375  -0.3280309   0.12817481],[-0.00936925 -0.74328727  0.36349124  0.56152505],frames/front/rgb_env0_7.jpg,frames/side/rgb_env0_7.jpg,frames/bird/rgb_env0_7.jpg,frames/front/depth_7.npz,frames/side/depth_7.npz,frames/bird/depth_7.npz,[2.5 0.  0. ]
7,1,[-2.2002394 -0.532197   0.1324474],[0.0771495  0.14281945 0.93670297 0.31022272],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.29976058 -0.532197    0.17744741],[0.07714951 0.14281943 0.93670297 0.31022272],frames/front/rgb_env1_7.jpg,frames/side/rgb_env1_7.jpg,frames/bird/rgb_env1_7.jpg,frames/front/depth_7.npz,frames/side/depth_7.npz,frames/bird/depth_7.npz,[-2.5  0.   0. ]
8,0,[ 2.7764995  -0.18196452  0.32133976],[-0.5946025   0.15225977 -0.45881727  0.6424573 ],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.2764995  -0.18196452  0.36633977],[-0.5946025   0.15225977 -0.45881727  0.6424573 ],frames/front/rgb_env0_8.jpg,frames/side/rgb_env0_8.jpg,frames/bird/rgb_env0_8.jpg,frames/front/depth_8.npz,frames/side/depth_8.npz,frames/bird/depth_8.npz,[2.5 0.  0. ]
8,1,[-2.061605   -0.36056456  0.33800194],[-0.88702697  0.25948632 -0.00848919 -0.38180876],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.43839502 -0.36056456  0.38300195],[-0.887027    0.25948638 -0.00848919 -0.38180882],frames/front/rgb_env1_8.jpg,frames/side/rgb_env1_8.jpg,frames/bird/rgb_env1_8.jpg,frames/front/depth_8.npz,frames/side/depth_8.npz,frames/bird/depth_8.npz,[-2.5  0.   0. ]
9,0,[ 3.206677   -0.28406507  0.48943898],[ 0.3894155  -0.00884852 -0.63246363 -0.6695275 ],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.70667696 -0.28406507  0.53443897],[ 0.38941553 -0.00884855 -0.6324636  -0.66952753],frames/front/rgb_env0_9.jpg,frames/side/rgb_env0_9.jpg,frames/bird/rgb_env0_9.jpg,frames/front/depth_9.npz,frames/side/depth_9.npz,frames/bird/depth_9.npz,[2.5 0.  0. ]
9,1,[-1.9525265  -0.04754734  0.23625788],[ 0.3002346  -0.71224236  0.53133017  0.34678262],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.54747355 -0.04754734  0.2812579 ],[ 0.30023462 -0.71224236  0.53133017  0.34678265],frames/front/rgb_env1_9.jpg,frames/side/rgb_env1_9.jpg,frames/bird/rgb_env1_9.jpg,frames/front/depth_9.npz,frames/side/depth_9.npz,frames/bird/depth_9.npz,[-2.5  0.   0. ]
10,0,[2.8798437  0.61491686 0.3692742 ],[ 0.2695028   0.08888601  0.82455647 -0.489463  ],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.3798437  0.61491686 0.41427422],[ 0.2695028   0.08888599  0.82455647 -0.489463  ],frames/front/rgb_env0_10.jpg,frames/side/rgb_env0_10.jpg,frames/bird/rgb_env0_10.jpg,frames/front/depth_10.npz,frames/side/depth_10.npz,frames/bird/depth_10.npz,[2.5 0.  0. ]
10,1,[-1.7689639   0.69016856  0.33698347],[-0.4948471  -0.11046706  0.838525    0.19949737],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.73103607 0.69016856 0.3819835 ],[-0.4948471  -0.11046705  0.83852506  0.19949737],frames/front/rgb_env1_10.jpg,frames/side/rgb_env1_10.jpg,frames/bird/rgb_env1_10.jpg,frames/front/depth_10.npz,frames/side/depth_10.npz,frames/bird/depth_10.npz,[-2.5  0.   0. ]
11,0,[ 2.4501176  -0.27759057  0.2694049 ],[ 0.02973856 -0.78467333 -0.5849413  -0.2030934 ],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[-0.04988241 -0.27759057  0.3144049 ],[ 0.02973856 -0.78467333 -0.5849413  -0.2030934 ],frames/front/rgb_env0_11.jpg,frames/side/rgb_env0_11.jpg,frames/bird/rgb_env0_11.jpg,frames/front/depth_11.npz,frames/side/depth_11.npz,frames/bird/depth_11.npz,[2.5 0.  0. ]
11,1,[-2.2416527 -0.7856409  0.1426505],[ 0.8448407  -0.1589626   0.50949395  0.03729645],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.25834727 -0.7856409   0.1876505 ],[ 0.8448407  -0.1589626   0.50949395  0.03729647],frames/front/rgb_env1_11.jpg,frames/side/rgb_env1_11.jpg,frames/bird/rgb_env1_11.jpg,frames/front/depth_11.npz,frames/side/depth_11.npz,frames/bird/depth_11.npz,[-2.5  0.   0. ]
1,0,[3.2362158  0.23179728 0.2151887 ],[-0.31911293  0.14587238 -0.86562485  0.35718575],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.73621583 0.23179728 0.2601887 ],[-0.31911293  0.14587238 -0.8656248   0.35718575],frames/front/rgb_env0_1.jpg,frames/side/rgb_env0_1.jpg,frames/bird/rgb_env0_1.jpg,frames/front/depth_1.npz,frames/side/depth_1.npz,frames/bird/depth_1.npz,[2.5 0.  0. ]
1,1,[-2.1685648  -0.57020485 -0.02709774],[-0.26406807  0.65820825 -0.25838503 -0.6559473 ],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.3314352  -0.57020485  0.01790227],[-0.26406807  0.65820825 -0.25838506 -0.6559473 ],frames/front/rgb_env1_1.jpg,frames/side/rgb_env1_1.jpg,frames/bird/rgb_env1_1.jpg,frames/front/depth_1.npz,frames/side/depth_1.npz,frames/bird/depth_1.npz,[-2.5  0.   0. ]
1,0,[2.8029408  0.35923773 0.2777026 ],[-0.34646842  0.871405    0.33567235  0.08909007],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.30294085 0.35923773 0.32270262],[-0.34646842  0.871405    0.33567235  0.08909008],frames/front/rgb_env0_1.jpg,frames/side/rgb_env0_1.jpg,frames/bird/rgb_env0_1.jpg,frames/front/depth_1.npz,frames/side/depth_1.npz,frames/bird/depth_1.npz,[2.5 0.  0. ]
1,1,[-2.4131846  -0.56065774  0.01423559],[-0.8134411  -0.26898926 -0.03609658 -0.51444674],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.08681536 -0.56065774  0.05923559],[-0.81344104 -0.26898932 -0.03609657 -0.5144467 ],frames/front/rgb_env1_1.jpg,frames/side/rgb_env1_1.jpg,frames/bird/rgb_env1_1.jpg,frames/front/depth_1.npz,frames/side/depth_1.npz,frames/bird/depth_1.npz,[-2.5  0.   0. ]
1,0,[2.5229719  0.79466444 0.05587301],[ 0.02886881  0.74599314  0.5998568  -0.2878066 ],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.02297187 0.79466444 0.10087301],[ 0.02886882  0.74599314  0.5998568  -0.2878066 ],frames/front/rgb_env0_1.jpg,frames/side/rgb_env0_1.jpg,frames/bird/rgb_env0_1.jpg,frames/front/depth_1.npz,frames/side/depth_1.npz,frames/bird/depth_1.npz,[2.5 0.  0. ]
1,1,[-2.4815824   0.18439406  0.15948391],[-0.8111025   0.17348744  0.06264046 -0.55505943],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.0184176  0.18439406 0.20448391],[-0.8111025   0.17348742  0.06264046 -0.55505943],frames/front/rgb_env1_1.jpg,frames/side/rgb_env1_1.jpg,frames/bird/rgb_env1_1.jpg,frames/front/depth_1.npz,frames/side/depth_1.npz,frames/bird/depth_1.npz,[-2.5  0.   0. ]
1,0,[ 2.3909512  -0.18379903  0.38677213],[-0.08848223 -0.8786526  -0.30659768  0.35515958],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[-0.10904884 -0.18379903  0.43177214],[-0.08848223 -0.8786526  -0.30659768  0.35515958],frames/front/rgb_env0_1.jpg,frames/side/rgb_env0_1.jpg,frames/bird/rgb_env0_1.jpg,frames/front/depth_1.npz,frames/side/depth_1.npz,frames/bird/depth_1.npz,[2.5 0.  0. ]
1,1,[-2.0183988  -0.22512001  0.31344894],[ 0.9891622   0.14090633 -0.02686798  0.03132929],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.48160124 -0.22512001  0.35844895],[ 0.9891622   0.14090633 -0.02686797  0.03132927],frames/front/rgb_env1_1.jpg,frames/side/rgb_env1_1.jpg,frames/bird/rgb_env1_1.jpg,frames/front/depth_1.npz,frames/side/depth_1.npz,frames/bird/depth_1.npz,[-2.5  0.   0. ]
2,0,[ 2.9510272  -0.72178453  0.2996732 ],[ 0.5791022  -0.57133144 -0.57982934 -0.04493322],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.45102715 -0.72178453  0.34467322],[ 0.5791022  -0.57133144 -0.57982934 -0.0449332 ],frames/front/rgb_env0_2.jpg,frames/side/rgb_env0_2.jpg,frames/bird/rgb_env0_2.jpg,frames/front/depth_2.npz,frames/side/depth_2.npz,frames/bird/depth_2.npz,[2.5 0.  0. ]
2,1,[-2.3440757   0.54664403  0.01671544],[ 0.8956095   0.30776906 -0.3194554  -0.03331739],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.15592432 0.54664403 0.06171545],[ 0.8956095   0.30776906 -0.3194554  -0.03331739],frames/front/rgb_env1_2.jpg,frames/side/rgb_env1_2.jpg,frames/bird/rgb_env1_2.jpg,frames/front/depth_2.npz,frames/side/depth_2.npz,frames/bird/depth_2.npz,[-2.5  0.   0. ]
3,0,[ 2.6140404  -0.44257334  0.18021004],[ 0.41915032  0.36970827 -0.5383472   0.6307226 ],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.11404037 -0.44257334  0.22521004],[ 0.4191503  0.3697083 -0.5383472  0.6307225],frames/front/rgb_env0_3.jpg,frames/side/rgb_env0_3.jpg,frames/bird/rgb_env0_3.jpg,frames/front/depth_3.npz,frames/side/depth_3.npz,frames/bird/depth_3.npz,[2.5 0.  0. ]
3,1,[-1.7945145   0.37815243  0.398683  ],[-0.8892818   0.28740603  0.11405274 -0.33699793],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.70548546 0.37815243 0.44368303],[-0.8892818   0.28740603  0.11405274 -0.33699793],frames/front/rgb_env1_3.jpg,frames/side/rgb_env1_3.jpg,frames/bird/rgb_env1_3.jpg,frames/front/depth_3.npz,frames/side/depth_3.npz,frames/bird/depth_3.npz,[-2.5  0.   0. ]
4,0,[ 2.380014    0.18914908 -0.02644479],[ 0.06021008 -0.7607128  -0.19676949 -0.6156073 ],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[-0.11998606  0.18914908  0.01855521],[ 0.06021011 -0.7607128  -0.19676948 -0.6156073 ],frames/front/rgb_env0_4.jpg,frames/side/rgb_env0_4.jpg,frames/bird/rgb_env0_4.jpg,frames/front/depth_4.npz,frames/side/depth_4.npz,frames/bird/depth_4.npz,[2.5 0.  0. ]
4,1,[-1.8076398   0.3428337   0.37754872],[-0.21392545  0.32745096  0.5805906   0.7140912 ],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.69236016 0.3428337  0.42254874],[-0.21392548  0.327451    0.5805906   0.7140912 ],frames/front/rgb_env1_4.jpg,frames/side/rgb_env1_4.jpg,frames/bird/rgb_env1_4.jpg,frames/front/depth_4.npz,frames/side/depth_4.npz,frames/bird/depth_4.npz,[-2.5  0.   0. ]
5,0,[ 2.7202015  -0.23616803  0.32870162],[-0.24711809  0.26031974  0.87924707 -0.31319433],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.22020149 -0.23616803  0.37370163],[-0.24711807  0.2603197   0.87924707 -0.31319433],frames/front/rgb_env0_5.jpg,frames/side/rgb_env0_5.jpg,frames/bird/rgb_env0_5.jpg,frames/front/depth_5.npz,frames/side/depth_5.npz,frames/bird/depth_5.npz,[2.5 0.  0. ]
5,1,[-1.9036298  -0.13135661 -0.02761207],[ 0.69714016 -0.69714123  0.11830232 -0.11829694],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.5963702  -0.13135661  0.01738794],[ 0.69714016 -0.69714123  0.1183023  -0.11829692],frames/front/rgb_env1_5.jpg,frames/side/rgb_env1_5.jpg,frames/bird/rgb_env1_5.jpg,frames/front/depth_5.npz,frames/side/depth_5.npz,frames/bird/depth_5.npz,[-2.5  0.   0. ]
1,0,[ 2.797563   -0.04989958 -0.00597303],[ 0.73684824 -0.5524903   0.08092143  0.38113105],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.29756308 -0.04989958  0.03902698],[ 0.73684824 -0.5524903   0.08092141  0.38113105],frames/front/rgb_env0_1.jpg,frames/side/rgb_env0_1.jpg,frames/bird/rgb_env0_1.jpg,frames/front/depth_1.npz,frames/side/depth_1.npz,frames/bird/depth_1.npz,[2.5 0.  0. ]
1,1,[-2.7280583   0.11861002  0.14323585],[ 0.84912336 -0.403806    0.13230847  0.31372705],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[-0.22805834  0.11861002  0.18823585],[ 0.84912336 -0.403806    0.13230848  0.31372702],frames/front/rgb_env1_1.jpg,frames/side/rgb_env1_1.jpg,frames/bird/rgb_env1_1.jpg,frames/front/depth_1.npz,frames/side/depth_1.npz,frames/bird/depth_1.npz,[-2.5  0.   0. ]
2,0,[2.3439791  0.1054903  0.02772346],[0.03530059 0.02260619 0.9875978  0.15130535],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[-0.15602088  0.1054903   0.07272346],[0.03530059 0.0226062  0.9875978  0.15130535],frames/front/rgb_env0_2.jpg,frames/side/rgb_env0_2.jpg,frames/bird/rgb_env0_2.jpg,frames/front/depth_2.npz,frames/side/depth_2.npz,frames/bird/depth_2.npz,[2.5 0.  0. ]
2,1,[-2.28696    0.601399   0.2714675],[-0.7043596   0.3030889   0.6374992  -0.07489575],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.21304011 0.601399   0.31646752],[-0.7043596   0.3030889   0.6374992  -0.07489574],frames/front/rgb_env1_2.jpg,frames/side/rgb_env1_2.jpg,frames/bird/rgb_env1_2.jpg,frames/front/depth_2.npz,frames/side/depth_2.npz,frames/bird/depth_2.npz,[-2.5  0.   0. ]
3,0,[2.645271   0.06882466 0.3612105 ],[-0.09181298  0.13486762  0.96771437  0.19211967],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.14527106 0.06882466 0.4062105 ],[-0.09181298  0.13486762  0.96771437  0.19211967],frames/front/rgb_env0_3.jpg,frames/side/rgb_env0_3.jpg,frames/bird/rgb_env0_3.jpg,frames/front/depth_3.npz,frames/side/depth_3.npz,frames/bird/depth_3.npz,[2.5 0.  0. ]
3,1,[-2.5754573  -0.5827079  -0.02117416],[0.44513705 0.5629288  0.46065977 0.5222612 ],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[-0.07545733 -0.5827079   0.02382584],[0.44513708 0.56292874 0.4606598  0.52226126],frames/front/rgb_env1_3.jpg,frames/side/rgb_env1_3.jpg,frames/bird/rgb_env1_3.jpg,frames/front/depth_3.npz,frames/side/depth_3.npz,frames/bird/depth_3.npz,[-2.5  0.   0. ]
4,0,[ 2.9613514  -0.22388381  0.05398566],[-0.95982933  0.1476302  -0.00101942 -0.238604  ],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.4613514  -0.22388381  0.09898567],[-0.95982933  0.14763021 -0.00101946 -0.23860401],frames/front/rgb_env0_4.jpg,frames/side/rgb_env0_4.jpg,frames/bird/rgb_env0_4.jpg,frames/front/depth_4.npz,frames/side/depth_4.npz,frames/bird/depth_4.npz,[2.5 0.  0. ]
4,1,[-1.9609368   0.7581727   0.37737548],[ 0.05737577 -0.6387805   0.5757183   0.5071646 ],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.5390632 0.7581727 0.4223755],[ 0.05737579 -0.6387805   0.5757183   0.5071646 ],frames/front/rgb_env1_4.jpg,frames/side/rgb_env1_4.jpg,frames/bird/rgb_env1_4.jpg,frames/front/depth_4.npz,frames/side/depth_4.npz,frames/bird/depth_4.npz,[-2.5  0.   0. ]
5,0,[ 3.061872   -0.12730092  0.23412973],[ 0.84337443 -0.27671808  0.13389719  0.44070187],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.561872   -0.12730092  0.27912974],[ 0.84337443 -0.27671808  0.13389713  0.44070187],frames/front/rgb_env0_5.jpg,frames/side/rgb_env0_5.jpg,frames/bird/rgb_env0_5.jpg,frames/front/depth_5.npz,frames/side/depth_5.npz,frames/bird/depth_5.npz,[2.5 0.  0. ]
5,1,[-2.2928998  -0.20481294  0.0058004 ],[ 0.04350219 -0.9104968   0.22791013  0.34228656],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.20710015 -0.20481294  0.0508004 ],[ 0.04350218 -0.9104967   0.22791013  0.34228656],frames/front/rgb_env1_5.jpg,frames/side/rgb_env1_5.jpg,frames/bird/rgb_env1_5.jpg,frames/front/depth_5.npz,frames/side/depth_5.npz,frames/bird/depth_5.npz,[-2.5  0.   0. ]
6,0,[ 3.1986008  -0.28065962  0.31260875],[ 0.09980762 -0.56800973  0.80178344 -0.15667352],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.69860077 -0.28065962  0.35760877],[ 0.09980762 -0.56800973  0.80178344 -0.15667352],frames/front/rgb_env0_6.jpg,frames/side/rgb_env0_6.jpg,frames/bird/rgb_env0_6.jpg,frames/front/depth_6.npz,frames/side/depth_6.npz,frames/bird/depth_6.npz,[2.5 0.  0. ]
